OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,Location,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
10010001,1/1/2010,1:55,1/1/2010,2:58:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z1,"Center Street Apartments North   132  Z1 - 939 Hemphill Avenue, NW, room 102",Center Street Apartments North   132  Z1,939,NULL,"Hemphill Avenue, NW",NULL,NULL,1
10010002,1/1/2010,1:36,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCAM,Z4,North Avenue @ Northyards Boulevard,NULL,NULL,NULL,NULL,NULL,NULL,1
10010004,1/1/2010,2:00,1/1/2010,4:00:00,2308,Larceny – From Building,Inactive,NULL,NONCAM,Z2,"Sigma Nu Fraternity   325   Z2 - 750 Fowler Street, NW",Sigma Nu Fraternity   325   Z2,750,NULL,"Fowler Street, NW",NULL,NULL,1
10010005,1/2/2010,6:15,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,"North Avenue Apartments - 120 North Avenue, NW",North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
10010006,1/3/2010,1:29,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Prosecution Declined,PUB,Z4,"Marietta Street, NW b/w Northside Drive, NW & Means Street, NW","Marietta Street, NW b/w Northside Drive, NW & Means Street, NW",NULL,NULL,NULL,NULL,NULL,1
10010007,1/1/2010,2:00,1/1/2010,2:30:00,2308,Larceny – From Building,Inactive,NULL,NONCAM,Z2,"Lambda Chi Alpha Fraternity   312   Z2 - 792 Techwood Drive, NW",Lambda Chi Alpha Fraternity   312   Z2,792,NULL,"Techwood Drive, NW",NULL,NULL,1
10010008,1/3/2010,11:47,NULL,NULL,2305,Larceny – Articles from Vehicle,Inactive,NULL,ONCAM,Z2,"Weber Building  (SST 1)   84   Z2 - 281 Ferst Drive, NW",Weber Building  (SST 1)   84   Z2,281,NULL,"Ferst Drive, NW",NULL,NULL,1
10010013,1/5/2010,3:16,1/5/2010,4:02:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z4,"Undergraduate Living Center - 580 Turner Place, NW",Undergraduate Living Center,580,NULL,"Turner Place, NW",NULL,NULL,1
10010014,1/5/2010,8:30,1/5/2010,8:43:00,2902,Damage to Property – Private,Closed/Cleared,NULL,ONCAM,Z2,"Wardlaw Center Parking Deck   47   Z2 - 177 North Avenue, NW",Wardlaw Center Parking Deck   47   Z2,177,NULL,"North Avenue, NW",NULL,NULL,1
10010015,1/5/2010,16:12,1/5/2010,16:25:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Manufacturing Related Disciplines Complex - 801 Ferst Drive, NW",Manufacturing Related Disciplines Complex,801,NULL,"Ferst Drive, NW",NULL,NULL,1
