OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,Location,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
11102082,10/11/2012,16:15,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Klaus Advanced Computing Building   153   Z3 - 266 Ferst Drive, NW",Klaus Advanced Computing Building   153   Z3,266,NULL,"Ferst Drive, NW",NULL,NULL,1
12010001,1/1/2012,3:18,NULL,NULL,5404,Driving Under the Influence of Alcohol,Closed/Cleared,Cleared by Arrest,PUB,Z3,"300 Block Ferst Drive, NW","300 Block Ferst Drive, NW",NULL,NULL,NULL,NULL,NULL,1
12010002,1/1/2012,3:19,1/1/2012,4:02:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z2,"North Avenue, NW @ Centennial Olympic Park Drive, NW","North Avenue, NW @ Centennial Olympic Park Drive, NW",NULL,NULL,NULL,NULL,NULL,1
12010004,1/1/2012,6:40,1/1/2012,7:20:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,Peters Parking Deck   8   Z2 - 749 Fowler Street NW,Peters Parking Deck   8   Z2,749,NULL,Fowler Street NW,NULL,NULL,1
12010005,1/1/2012,10:00,NULL,NULL,9999,Non-Crime (not reported to state),Closed/Cleared,NULL,NONCLERY,OFFCAM,"1033 Hemphill Avenue, NW",NULL,1033,NULL,"Hemphill Avenue, NW",NULL,NULL,1
12010006,1/1/2012,13:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,"Georgia Institute of Technology Hotel and Conference Center - 800 Spring Street, NW, Room 159",Georgia Institute of Technology Hotel and Conference Center,800,NULL,"Spring Street, NW",NULL,NULL,1
12010007,1/3/2012,5:40,NULL,NULL,5707,Criminal Trespass,Closed/Cleared,Unfounded,ONCAM,Z3,"Rich Building   51C   Z2 - 258 Fourth Street, NW, Room 321",Rich Building   51C   Z2,258,NULL,"Fourth Street, NW",NULL,NULL,1
12010011,1/3/2012,11:45,1/3/2012,12:02:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Bunger-Henry Building   86  Z3 - 778 Atlantic Drive NW, Room 439",Bunger-Henry Building   86  Z3,778,NULL,Atlantic Drive NW,NULL,NULL,1
12010012,1/3/2012,19:50,1/3/2012,20:00:00,2304,Larceny – Parts from Vehicle,Inactive,NULL,ONCAM,Z4,"Campus Recreation Center Parking Deck - 750 Ferst Drive, top level",Campus Recreation Center Parking Deck,750,NULL,Ferst Drive,NULL,NULL,1
12010013,1/3/2012,21:09,1/3/2012,22:30:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Williams Street, NW","North Avenue, NW @ Williams Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010014,1/3/2012,21:05,1/3/2012,21:15:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,Z4,"Tenside Apartments - 1000 Northside Drive, NW",Tenside Apartments,1000,NULL,"Northside Drive, NW",NULL,NULL,1
12010017,1/4/2012,20:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"GCATT   141   Z1 - 250 Fourteenth Street, NW, 3rd Floor",GCATT   141   Z1,250,NULL,"Fourteenth Street, NW",NULL,NULL,1
12010018,1/5/2012,10:20,1/5/2012,10:33:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Beringause Building   46   Z1 - 879 Hemphill Avenue, NW",Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
