OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,Location,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
12010020,1/3/2012,10:40,1/3/2012,10:50:00,2303,Shoplifting,Inactive,NULL,ONCAM,Z2,"Barnes and Noble Bookstore 172 Z2 - 48 Fifth Street, NW, Second Floor School Supplies Section",Barnes and Noble Bookstore 172 Z2,48,NULL,"Fifth Street, NW",NULL,NULL,1
12010021,1/5/2012,14:33,1/5/2012,14:45:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"Fourth Street Apartments (Stein House)   134  Z2 - 733 Techwood Drive NW, North bldg",Fourth Street Apartments (Stein House)   134  Z2,733,NULL,Techwood Drive NW,NULL,NULL,1
12010022,1/5/2012,15:40,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z4,"Campus Recreation Center   122   Z4 - 750 Ferst Drive, NW",Campus Recreation Center   122   Z4,750,NULL,"Ferst Drive, NW",NULL,NULL,1
12010023,1/5/2012,17:08,1/5/2012,17:50:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,NULL,Atlantic Drive @ Peachtree Place,Atlantic Drive @ Peachtree Place,NULL,NULL,NULL,NULL,NULL,1
12010024,1/5/2012,19:33,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,Technology Square Parking Deck 174  Z2 - 770 Spring Street NW,Technology Square Parking Deck 174  Z2,770,NULL,Spring Street NW,NULL,NULL,1
12010025,1/6/2012,6:00,1/6/2012,6:30:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z3,"Clough Undergraduate Learning Center (CULC) Z2 - 266 2nd Street, Office of Information Technology",Clough Undergraduate Learning Center (CULC) Z2,266,NULL,2nd Street,NULL,NULL,1
12010026,1/6/2012,8:36,1/6/2012,8:36:00,5707,Criminal Trespass,Inactive,NULL,ONCAM,Z2,Beringause Building   46   Z1 - 879 Hemphill Avenue NW,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,NULL,NULL,1
12010027,1/6/2012,7:00,1/6/2012,9:30:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,OFFCAM,"Snyder Street, NW @ Ethel Street, NW","Snyder Street, NW @ Ethel Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010028,1/6/2012,14:40,NULL,NULL,7399,Miscellaneous Offenses,Inactive,NULL,ONCAM,Z1,Beringause Building   46   Z1 - 879 Hemphill Avenue NW,Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,NULL,NULL,1
12010030,1/6/2012,18:40,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z2,"Techwood Drive, NW @ Fourth Street, NW","Techwood Drive, NW @ Fourth Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010031,1/6/2012,19:00,1/6/2012,22:00:00,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,Z4,"Campus Recreation Center   122   Z4 - 750 Ferst Drive, NW, Soccer Field",Campus Recreation Center   122   Z4,750,NULL,"Ferst Drive, NW",NULL,NULL,1
12010032,1/6/2012,22:38,1/6/2012,22:52:00,7399,Miscellaneous Offenses,Closed/Cleared,Prosecution Declined,PUB,Z2,"600 Block Techwood Drive, NW","600 Block Techwood Drive, NW",NULL,NULL,NULL,NULL,NULL,1
12010034,1/7/2012,0:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCAM,Z1,"Delta Chi Fraternity   335   Z2 - 170 Fifth Street, NW",Delta Chi Fraternity   335   Z2,170,NULL,"Fifth Street, NW",NULL,NULL,1
12010035,1/7/2012,17:12,1/7/2012,17:44:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,"Perry Residence Hall - 711 Techwood Drive NW, Room 111",Perry Residence Hall,711,NULL,Techwood Drive NW,NULL,NULL,1
12010037,1/7/2012,20:25,1/7/2012,23:19:00,7399,Miscellaneous Offenses,Closed/Cleared,Prosecution Declined,ONCAM,Z2,"Substation Drive Parking Lot - 221 Bobby Dodd Way, NW",Substation Drive Parking Lot,221,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
12010038,1/8/2012,1:55,1/8/2012,3:15:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,NONCLERY,OFFCAM,"Ponce de Leon Avenue, NE @ West Peachtree Street, NE","Ponce de Leon Avenue, NE @ West Peachtree Street, NE",NULL,NULL,NULL,NULL,NULL,1
12010039,1/8/2012,2:22,1/8/2012,3:00:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,"Glenn Residence Hall   16   Z2 - 118 Bobby Dodd Way, NW, First Floor",Glenn Residence Hall   16   Z2,118,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
12010040,1/8/2012,5:27,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,NULL,"Beringause Building   46   Z1 - 879 Hemphill Avenue, NW",Beringause Building   46   Z1,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
12010041,1/9/2012,2:14,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Manufacturing Rel. Disc. Complex (MRDC)   135  Z3 - 813 Ferst Drive, NW",Manufacturing Rel. Disc. Complex (MRDC)   135  Z3,813,NULL,"Ferst Drive, NW",NULL,NULL,1
12010042,1/9/2012,9:11,1/9/2012,9:36:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Klaus Advanced Computing Building   153   Z3 - 266 Ferst Drive NW, 1318A",Klaus Advanced Computing Building   153   Z3,266,NULL,Ferst Drive NW,NULL,NULL,1
12010043,1/9/2012,7:30,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,OFFCAM,"503 Calhoun Street, NW, sidewalk",NULL,503,NULL,"Calhoun Street, NW",NULL,NULL,1
12010045,1/9/2012,20:30,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"Smith Residence Hall   6   Z2 - 630 Williams Street NW, Room 228",Smith Residence Hall   6   Z2,630,NULL,Williams Street NW,NULL,NULL,1
12010046,1/10/2012,5:06,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,Molecular Science Building    Z1 - 901 NW Atlantic Drive,Molecular Science Building    Z1,901,NW,Atlantic Drive,NULL,NULL,1
12010047,1/10/2012,7:50,NULL,NULL,5707,Criminal Trespass,Inactive,NULL,ONCAM,Z2,"Perry-Matheson Parking Lot - 713 Techwood Drive, NW",Perry-Matheson Parking Lot,713,NULL,"Techwood Drive, NW",NULL,NULL,1
12010048,1/10/2012,3:00,1/10/2012,8:45:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"Smith Residence Hall   6   Z2 - 630 Williams Street, NW",Smith Residence Hall   6   Z2,630,NULL,"Williams Street, NW",NULL,NULL,1
12010049,1/10/2012,10:10,1/10/2012,10:28:00,1313,Simple Assault/Battery,Inactive,NULL,PUB,Z4,"Marietta Street, NW @ Boss Street, NW","Marietta Street, NW @ Boss Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010051,1/10/2012,20:20,1/10/2012,21:06:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"North Avenue Apartments North Building - 120 North Avenue, NW",North Avenue Apartments North Building,120,NULL,"North Avenue, NW",NULL,NULL,1
12010052,1/11/2012,8:36,1/11/2012,8:57:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,"North Avenue Apartments Dining Hall - 120 North Avenue, NW",North Avenue Apartments Dining Hall,120,NULL,"North Avenue, NW",NULL,NULL,1
12010053,1/11/2012,14:15,1/11/2012,14:28:00,5707,Criminal Trespass,Inactive,NULL,ONCAM,Z2,"Old CE Building - 221 Bobby Dodd Way, NW",Old CE Building,221,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
12010054,1/11/2012,14:00,1/11/2012,14:30:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z2,Starbucks - 48 Fifth Street,Starbucks,48,NULL,Fifth Street,NULL,NULL,1
12010055,1/11/2012,14:45,NULL,NULL,2902,Damage to Property – Private,Closed/Cleared,NULL,ONCAM,Z3,"Boggs Building Parking Lot - 770 State Street, NW",Boggs Building Parking Lot,770,NULL,"State Street, NW",NULL,NULL,1
12010056,1/11/2012,21:50,1/11/2012,22:10:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z4,"Campus Recreation Center   122   Z4 - 750 Ferst Drive, NW, 5th Floor Tracck",Campus Recreation Center   122   Z4,750,NULL,"Ferst Drive, NW",NULL,NULL,1
12010057,1/11/2012,23:24,1/11/2012,23:37:00,4199,Liquor Law Violation Offense Free Text,Closed/Cleared,Cleared by Arrest,NONCAM,Z2,"Sigma Alpha Epsilon Fraternity   323  Z3 - 221 Fourth Street, NW",Sigma Alpha Epsilon Fraternity   323  Z3,221,NULL,"Fourth Street, NW",NULL,NULL,1
12010058,1/12/2012,2:58,NULL,NULL,2308,Larceny – From Building,Closed/Cleared,Cleared by Arrest,NONCLERY,Z2,"The Quad - 714 Spring Street, NW",The Quad,714,NULL,"Spring Street, NW",NULL,NULL,1
12010059,1/11/2012,20:00,1/12/2012,8:30:00,5707,Criminal Trespass,Inactive,NULL,ONCAMRES,Z1,"Center Street Apartments   132  Z1 - 939 Hemphill Avenue NW, North",Center Street Apartments   132  Z1,939,NULL,Hemphill Avenue NW,NULL,NULL,1
12010061,1/12/2012,16:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Architecture East Building - 247 Fourth Street, NW",Architecture East building,247,NULL,"Fourth Street, NW",NULL,NULL,1
12010062,1/12/2012,18:10,1/12/2012,18:15:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,NULL,"Tenth Street United Methodist Church - 425 Tenth Street, NW",Tenth Street United Methodist Church,425,NULL,"Tenth Street, NW",NULL,NULL,1
12010063,1/12/2012,21:38,1/12/2012,22:00:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z4,"Northside Drive, NW @ Marietta Street, NW","Northside Drive, NW @ Marietta Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010065,1/13/2012,8:48,NULL,NULL,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAMRES,Z1,"Graduate Living Center   52  Z1 - 301 Tenth Street NW, 2nd floor Study Room",Graduate Living Center   52  Z1,301,NULL,Tenth Street NW,NULL,NULL,1
12010067,1/13/2012,18:25,NULL,NULL,2902,Damage to Property – Private,Closed/Cleared,NULL,ONCAM,Z1,"Beringause Building   46   Z1 - 879 Hemphill Avenue NW, Rear Parking Lot",Beringause Building   46   Z1,879,NULL,Hemphill Avenue NW,NULL,NULL,1
12010068,1/14/2012,0:45,1/14/2012,0:50:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z1,"Tenth Street, NW @ State Street, NW","Tenth Street, NW @ State Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010069,1/14/2012,1:03,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,Z2,"970 Tenth Street, NW",NULL,970,NULL,"Tenth Street, NW",NULL,NULL,1
12010070,1/14/2012,1:38,1/14/2012,1:50:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"Perry-Matheson Residence Hall   92   Z2 - 715 Techwood Drive, NW, Third Floor",Perry-Matheson Residence Hall   92   Z2,715,NULL,"Techwood Drive, NW",NULL,NULL,1
12010071,1/14/2012,2:10,NULL,NULL,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,"Hanson Residence Hall   93   Z2 - 109 Bobby Dodd Way, NW",Hanson Residence Hall   93   Z2,109,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
12010071,1/14/2012,2:10,NULL,NULL,8399,NULL,Closed/Cleared,Prosecution Declined,ONCAMRES,Z2,"Hanson Residence Hall   93   Z2 - 109 Bobby Dodd Way, NW",Hanson Residence Hall   93   Z2,109,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
12010072,1/14/2012,1:15,1/14/2012,2:15:00,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,NONCAM,Z2,"Delta Sigma Phi Fraternity   307  Z2 - 165 Fourth Street, NW, Second floor men's bathroom",Delta Sigma Phi Fraternity   307  Z2,165,NULL,"Fourth Street, NW",NULL,NULL,1
12010072,1/14/2012,1:15,1/14/2012,2:15:00,8399,NULL,Closed/Cleared,Prosecution Declined,NONCAM,Z2,"Delta Sigma Phi Fraternity   307  Z2 - 165 Fourth Street, NW, Second floor men's bathroom",Delta Sigma Phi Fraternity   307  Z2,165,NULL,"Fourth Street, NW",NULL,NULL,1
12010073,1/14/2012,1:00,1/14/2012,2:00:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCAM,Z2,"Academy of Medicine, NW - 875 West Peachtree, NW","Academy of Medicine, NW",875,NULL,"West Peachtree, NW",NULL,NULL,1
12010074,1/14/2012,2:17,1/14/2012,2:55:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,"Smith Residence Hall - 630 Williams Street, NW, Room 226",Smith Residence Hall,630,NULL,"Williams Street, NW",NULL,NULL,1
12010075,1/12/2012,20:30,1/13/2012,13:00:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Ford ES&T Building - 311 Ferst Drive, NW, 4th floor",Ford ES&T Building,311,NULL,"Ferst Drive, NW",NULL,NULL,1
12010076,1/14/2012,9:45,1/14/2012,15:18:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z4,"Freeman Residence Hall   117   Z4 - 835 McMillan Street, NW",Freeman Residence Hall   117   Z4,835,NULL,"McMillan Street, NW",NULL,NULL,1
12010077,1/14/2012,15:39,1/14/2012,15:58:00,7399,Miscellaneous Offenses,Inactive,NULL,ONCAMRES,Z2,"North Avenue Apartments South Building - 120 North Avenue, NW",North Avenue Apartments South Building,120,NULL,"North Avenue, NW",NULL,NULL,1
12010078,1/14/2012,20:20,1/14/2012,20:40:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z1,"Family Housing - 251 Tenth Street,  NW, room A711",Family Housing,251,NULL,"Tenth Street,  NW",NULL,NULL,1
12010079,1/15/2012,3:30,1/15/2012,4:15:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,NONCLERY,Z1,"Fourteenth Street, NW @ Spring Street, NW","Fourteenth Street, NW @ Spring Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010080,1/15/2012,14:26,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Techwood Drive, NW","North Avenue, NW @ Techwood Drive, NW",NULL,NULL,NULL,NULL,NULL,1
12010082,1/15/2012,20:11,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Unfounded,ONCAMRES,Z2,"Glenn Residence Hall   16   Z2 - 118 Bobby Dodd Way, NW, room 316",Glenn Residence Hall   16   Z2,118,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
12010083,1/15/2012,21:20,1/15/2012,21:30:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z4,Freeman Residence Hall - 835 McMillan Street NW,Freeman Residence Hall,835,NULL,McMillan Street NW,NULL,NULL,1
12010084,1/16/2012,0:38,NULL,NULL,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,"Harris Residence Hall   11   Z2 - 633 Techwood Drive, NW",Harris Residence Hall   11   Z2,633,NULL,"Techwood Drive, NW",NULL,NULL,1
12010085,1/16/2012,2:21,1/16/2012,2:48:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z4,"Northside Drive, NW @ Marietta Street, NW","Northside Drive, NW @ Marietta Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010086,1/16/2012,2:26,1/16/2012,3:13:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z4,"Crecine Residence Hall   131   Z4 - 900 Hemphill Avenue, NW, room 501C",Crecine Residence Hall   131   Z4,900,NULL,"Hemphill Avenue, NW",NULL,NULL,1
12010087,1/16/2012,10:07,1/16/2012,10:20:00,7399,Miscellaneous Offenses,Closed/Cleared,Cleared by Arrest,PUB,Z2,"North Avenue, NW @ Williams Street, NW","North Avenue, NW @ Williams Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010088,1/15/2012,21:00,1/16/2012,11:45:00,5707,Criminal Trespass,Inactive,NULL,NONCAM,Z1,Phi Gamma Delta Fraternity   315   Z1 - 841 Fowler Street NW,Phi Gamma Delta Fraternity   315   Z1,841,NULL,Fowler Street NW,NULL,NULL,1
12010089,1/16/2012,12:40,1/16/2012,13:00:00,5707,Criminal Trespass,Inactive,NULL,ONCAM,Z3,"Manufacturing Related Disciplines Complex - 801 Ferst Drive, NW",Manufacturing Related Disciplines Complex,801,NULL,"Ferst Drive, NW",NULL,NULL,1
12010090,1/16/2012,17:31,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z1,"Nano Technology Z1 - 347 Ferst Drive, NW, near room 1253",Nano Technology Z1,347,NULL,"Ferst Drive, NW",NULL,NULL,1
12010091,1/16/2012,18:53,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"Cloudman Residence Hall - 661 Techwood Drive, NW, Room 115",Cloudman Residence Hall,661,NULL,"Techwood Drive, NW, Room 115",NULL,NULL,1
12010092,1/16/2012,19:20,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,Unfounded,ONCAMRES,Z1,"Crecine Residence Hall - 900 Hemphill Avenue, NW",Crecine Residence Hall,900,NULL,"Hemphill Avenue, NW",NULL,NULL,1
12010093,1/13/2012,16:30,1/17/2012,7:30:00,5707,Criminal Trespass,Inactive,NULL,ONCAMRES,Z1,"Center Street Apartments   132  Z1 - 939 Hemphill Avenue NW, North Building",Center Street Apartments   132  Z1,939,NULL,Hemphill Avenue NW,NULL,NULL,1
12010094,1/10/2012,17:00,NULL,NULL,2902,Damage to Property – Private,Closed/Cleared,NULL,ONCAM,Z3,"Klaus Parking Deck  153  Z3 - 266 Ferst Drive, NW",Klaus Parking Deck  153  Z3,266,NULL,"Ferst Drive, NW",NULL,NULL,1
12010095,1/17/2012,10:33,NULL,NULL,2999,Damage to Property Offense Free Text,Closed/Cleared,NULL,ONCAM,Z1,Centennial Research Building   790   Z1 - 400 Tenth Street NW,Centennial Research Building   790   Z1,400,NULL,Tenth Street NW,NULL,NULL,1
12010096,1/13/2012,16:30,1/17/2012,11:00:00,5707,Criminal Trespass,Inactive,NULL,ONCAMRES,Z1,"Center Street Apartments   132  Z1 - 939 Hemphill Avenue NW, North 301",Center Street Apartments   132  Z1,939,NULL,Hemphill Avenue NW,NULL,NULL,1
12010098,1/17/2012,12:22,1/17/2012,12:22:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z3,"Van Leer Electrical Engineering Building   85  Z3 - 777 Atlantic Drive, NW",Van Leer Electrical Engineering Building   85  Z3,777,NULL,"Atlantic Drive, NW",NULL,NULL,1
12010099,1/17/2012,10:40,1/17/2012,12:11:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,OFFCAM,Gravograph - 2200 Northmont Parkway,Gravograph,2200,NULL,Northmont Parkway,NULL,NULL,1
12010100,1/16/2012,11:00,NULL,NULL,2902,Damage to Property – Private,Closed/Cleared,NULL,ONCAM,Z2,Georgia Tech Hotel & Conference Center - 800 Spring Street NW,Georgia Tech Hotel & Conference Center,800,NULL,Spring Street NW,NULL,NULL,1
12010101,1/17/2012,13:00,1/17/2012,17:00:00,2605,Fraud – Illegal Use of Credit/Financial Transaction Cards,Inactive,NULL,ONCAMRES,Z4,"North Avenue Apartments - 120 North Avenue, NW",North Avenue Apartments,120,NULL,"North Avenue, NW",NULL,NULL,1
12010102,1/17/2012,17:40,NULL,NULL,2902,Damage to Property – Private,Closed/Cleared,NULL,ONCAM,Z2,"Klaus Parking Deck - 266 Ferst Drive,NW",Klaus Parking Deck,266,NULL,"Ferst Drive,NW",NULL,NULL,1
12010103,1/2/2012,7:00,1/17/2012,19:00:00,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,NULL,"Beringause Building Parking Lot 46   Z1 - 879 Hemphill Avenue, NW",Beringause Building Parking Lot 46   Z1,879,NULL,"Hemphill Avenue, NW",NULL,NULL,1
12010104,1/17/2012,20:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z2,"Towers Residence Hall   15   Z2 - 112 Bobby Dodd Way, NW",Towers Residence Hall   15   Z2,112,NULL,"Bobby Dodd Way, NW",NULL,NULL,1
12010106,1/18/2012,10:30,1/18/2012,10:50:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z2,"Clough Undergraduate Learning Center - 266 4TH Street, NW",Clough Undergraduate Learning Center,266,NULL,"4TH Street, NW",NULL,NULL,1
12010107,1/18/2012,11:30,1/18/2012,13:15:00,2308,Larceny – From Building,Inactive,NULL,ONCAM,Z3,"Klaus Advanced Computing Building - 266 Ferst Drive, NW",Klaus Advanced Computing Building,266,NULL,"Ferst Drive, NW",NULL,NULL,1
12010108,1/18/2012,13:50,1/18/2012,14:42:00,5707,Criminal Trespass,Inactive,NULL,ONCAM,Z2,756 West Peachtree St,NULL,756,NULL,West Peachtree St,NULL,NULL,1
12010109,1/10/2012,12:00,1/17/2012,15:00:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAMRES,Z1,"Family Apartments - 251 Tenth Street, NW, Apartment C301",Family Apartments,251,NULL,"Tenth Street, NW",NULL,NULL,1
12010110,1/12/2012,8:00,1/18/2012,12:00:00,2399,Larceny Offense Free Text,Inactive,NULL,ONCAM,Z4,"Curran Parking Deck - 875 Curran Street, NW",Curran Parking Deck,875,NULL,"Curran Street, NW",NULL,NULL,1
12010111,1/18/2012,20:21,1/18/2012,20:53:00,7399,Miscellaneous Offenses,Closed/Cleared,NULL,NONCLERY,Z1,"579 10th Street, NW",NULL,579,NULL,"10th Street, NW",NULL,NULL,1
12010112,1/19/2012,1:42,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,PUB,Z2,"North Avenue, NW @ Cherry Street, NW - sidewalk","North Avenue, NW @ Cherry Street, NW",NULL,NULL,NULL,NULL,NULL,1
12010113,1/19/2012,2:16,NULL,NULL,4104,Liquor – Possession Of,Closed/Cleared,Prosecution Declined,NONCAM,Z2,Lambda Chi Alpha Fraternity   312   Z2 - 792 Techwood Drive NW,Lambda Chi Alpha Fraternity   312   Z2,792,NULL,Techwood Drive NW,NULL,NULL,1
12010115,1/13/2012,8:00,NULL,NULL,7399,Miscellaneous Offenses,Closed/Cleared,NULL,ONCAM,Z4,"Buisness Services - 711 Marietta Street, NW",Buisness Services,711,NULL,"Marietta Street, NW",NULL,NULL,1
12010116,1/18/2012,16:00,1/19/2012,13:00:00,2308,Larceny – From Building,Inactive,NULL,ONCAMRES,Z2,"North Avenue Apartments North Building - 120 North Avenue, NW, Room 511",North Avenue Apartments North Building,120,NULL,"North Avenue, NW",NULL,NULL,1
12010117,1/19/2012,15:24,NULL,NULL,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z1,"455 14th Street, NW",NULL,455,NULL,"14th Street, NW",NULL,NULL,1
